username,password,item,join_date,harga,saldo,expired
alfath,123,Silver,17-12-2025 21:40:42,125000,1525000,29-03-2026
aryo,123456,Gold,17-12-2025 03:53:31,250000,11591234,22-07-2026
123,123,Gold,17-12-2025 03:42:22,250000,981234,16-01-2026
123,123,Gold,17-12-2025 03:42:22,250000,981234,16-01-2026
aadqsqs,qsqs,,,,0,
bb,bb,Gold,18-12-2025 12:20:00,250000,0,17-04-2026
1,1,Bronze,18-12-2025 20:20:21,75000,99550000,25-01-2026
challenge1,123,,,,0,
challenge1,,Gold,18-12-2025 15:43:59,250000,,
challenge1,,Gold,18-12-2025 15:44:06,250000,,
challenge1,,Gold,18-12-2025 15:44:06,250000,,
challenge1,,Gold,18-12-2025 15:44:07,250000,,
challenge1,,Gold,18-12-2025 15:44:07,250000,,
challenge1,,Gold,18-12-2025 15:44:07,250000,,
challenge1,,Gold,18-12-2025 15:44:07,250000,,
challenge1,,Gold,18-12-2025 15:44:07,250000,,
challenge1,,Gold,18-12-2025 15:44:08,250000,,
challenge1,,Gold,18-12-2025 15:44:08,250000,,
challenge1,,Gold,18-12-2025 15:44:39,250000,,
challenge1,,Gold,18-12-2025 15:44:39,250000,,
challenge1,,Gold,18-12-2025 15:44:39,250000,,
challenge1,,Gold,18-12-2025 15:44:40,250000,,
challenge1,,Gold,18-12-2025 15:44:40,250000,,
challenge1,,Gold,18-12-2025 15:44:40,250000,,
chall1,1,,,,0,
chall1,,Gold,18-12-2025 15:45:54,250000,,
chall1,,Gold,18-12-2025 15:45:56,250000,,
chall1,,Gold,18-12-2025 15:45:59,250000,,
chall1,,Silver,18-12-2025 15:46:01,125000,,
chall1,,Silver,18-12-2025 15:46:06,125000,,
chall1,,Bronze,18-12-2025 15:46:09,75000,,
chall2,123,,,,0,
chall2,,Gold,18-12-2025 15:58:34,250000,,
chall2,,Gold,18-12-2025 15:58:34,250000,,
chall2,,Gold,18-12-2025 15:58:35,250000,,
chall2,,Gold,18-12-2025 15:58:35,250000,,
chall2,,Gold,18-12-2025 15:58:35,250000,,
chall2,,Gold,18-12-2025 15:58:35,250000,,
chall2,,Gold,18-12-2025 15:58:35,250000,,
chall2,,Gold,18-12-2025 15:59:29,250000,,
chall2,,Gold,18-12-2025 15:59:29,250000,,
chall2,,Gold,18-12-2025 15:59:29,250000,,
chall2,,Gold,18-12-2025 15:59:29,250000,,
chall3,123,Gold,18-12-2025 16:36:00,250000,9750000,17-01-2026
chall3,,Gold,18-12-2025 16:36:00,250000,9750000,17-01-2026
chall3,,Gold,18-12-2025 16:36:00,250000,9750000,17-01-2026
